Country,Cause,Deaths,distance
1430,Y34,273496,0.298058189379205
4308,X969,41,0.318855366187582
2450,X940,1965,0.377416256013198
2450,X930,2188,0.398904444432695
2450,X708,3377,0.473778676984206
2450,O960,490,0.510485477073455
2450,X701,2454,0.514419996249225
2450,X804,1052,0.526027378705894
2450,X730,9945,0.533477098110222
2450,X744,2488,0.550375056350716
2450,X740,35822,0.560299720013477
2450,X808,1033,0.566248589489027
2450,X816,805,0.56730646613899
2450,W776,73,0.57094586263525
2450,X748,5357,0.571395743779799
2450,O961,596,0.576023394072241
2450,X718,1207,0.576978809557747
2450,X702,667,0.592442321758603
2450,X728,2077,0.60329916655237
2450,W875,63,0.611150613014265
